date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:49	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-56fb3de3c855e%22	http://theauditionafrica.com/robots.txt		(from )
12:23:51	23213/23213	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2011:23:52%20GMT	http://theauditionafrica.com/	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/index.html	(from )
12:23:51	101005/101005	---M-Z	200	added ('OK')	text/css	etag:%2218a8d-570a7b80709a3-gzip%22	http://theauditionafrica.com/front/css/app.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/app.css	(from http://theauditionafrica.com/)
12:23:52	27490/27490	---M-Z	200	added ('OK')	text/css	etag:%226b62-56fb3de3bf8be-gzip%22	http://theauditionafrica.com/front/css/font-awesome.min.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/font-awesome.min.css	(from http://theauditionafrica.com/)
12:23:52	127570/127570	---M-Z	200	added ('OK')	text/css	etag:%221f252-576e1e6404a04-gzip%22	http://theauditionafrica.com/front/css/theme.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/theme.css	(from http://theauditionafrica.com/)
12:23:53	15222/15222	---M-Z	200	added ('OK')	text/css	etag:%223b76-570a7b8071943-gzip%22	http://theauditionafrica.com/front/layerslider/css/layerslider.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/layerslider/css/layerslider.css	(from http://theauditionafrica.com/)
12:23:53	3593/3593	---M-Z	200	added ('OK')	text/css	etag:%22e09-56fb3de3bf8be-gzip%22	http://theauditionafrica.com/front/css/owl.carousel.min.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/owl.carousel.min.css	(from http://theauditionafrica.com/)
12:23:53	1126/1126	---M-Z	200	added ('OK')	text/css	etag:%22466-56fb3de3bf8be-gzip%22	http://theauditionafrica.com/front/css/owl.theme.default.min.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/owl.theme.default.min.css	(from http://theauditionafrica.com/)
12:23:54	11175/11175	---M-Z	200	added ('OK')	text/css	etag:%222ba7-570a7b80709a3-gzip%22	http://theauditionafrica.com/front/css/responsive.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/responsive.css	(from http://theauditionafrica.com/)
12:23:54	1674/1674	---M-Z	200	added ('OK')	text/css	etag:%2268a-579883bd86f3b-gzip%22	http://theauditionafrica.com/front/css/style.css	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/front/css/style.css	(from http://theauditionafrica.com/)
12:23:55	13777/13777	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2011:23:56%20GMT	http://theauditionafrica.com/top-contestants	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/top-contestants.html	(from http://theauditionafrica.com/)
12:23:55	18256/18256	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2011:23:56%20GMT	http://theauditionafrica.com/register	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/register.html	(from http://theauditionafrica.com/)
12:23:56	22008/22008	---M-Z	200	added ('OK')	text/html	date:Thu,%2007%20Feb%202019%2011:23:56%20GMT	http://theauditionafrica.com/auditions	C:/Users/Adekunle%20Toluwani/Desktop/My%20Codes/My%20websites/The%20Audition%20Africa/design%202/theauditionafrica.com/auditions.html	(from http://theauditionafrica.com/)
